,lam,epsilon2
2,40.0,0.075
4,30.0,0.02
8,20.0,0.01
10,25.0,0.01
15,40.0,0.01
20,30.0,0.01
25,15.0,0.01
33,20.0,0.01
50,20.0,0.01
