Method,Age,Fate,Top genes,AP
gStatOT,0.0 (yrs),Granulocyte,5,0.5707792207792208
StatOT,0.0 (yrs),Granulocyte,5,0.0
GT-TC,0.0 (yrs),Granulocyte,5,0.3333333333333333
gStatOT,2.0 (yrs),Granulocyte,5,0.7276190476190476
StatOT,2.0 (yrs),Granulocyte,5,0.5018939393939393
GT-TC,2.0 (yrs),Granulocyte,5,0.27999999999999997
gStatOT,4.0 (yrs),Granulocyte,5,0.42674868990658466
StatOT,4.0 (yrs),Granulocyte,5,0.0
GT-TC,4.0 (yrs),Granulocyte,5,0.3666666666666667
gStatOT,10.0 (yrs),Granulocyte,5,0.71
StatOT,10.0 (yrs),Granulocyte,5,0.5315508021390374
GT-TC,10.0 (yrs),Granulocyte,5,0.27999999999999997
gStatOT,12.0 (yrs),Granulocyte,5,0.3885470085470085
StatOT,12.0 (yrs),Granulocyte,5,0.8526315789473685
GT-TC,12.0 (yrs),Granulocyte,5,0.26666666666666666
gStatOT,17.0 (yrs),Granulocyte,5,0.8555555555555555
StatOT,17.0 (yrs),Granulocyte,5,0.7088888888888889
GT-TC,17.0 (yrs),Granulocyte,5,0.31000000000000005
gStatOT,25.0 (yrs),Granulocyte,5,0.6734782608695652
StatOT,25.0 (yrs),Granulocyte,5,0.0
GT-TC,25.0 (yrs),Granulocyte,5,0.655
gStatOT,32.0 (yrs),Granulocyte,5,0.6036796536796537
StatOT,32.0 (yrs),Granulocyte,5,0.0
GT-TC,32.0 (yrs),Granulocyte,5,0.76
gStatOT,35.0 (yrs),Granulocyte,5,0.5403463203463204
StatOT,35.0 (yrs),Granulocyte,5,0.8761904761904763
GT-TC,35.0 (yrs),Granulocyte,5,0.6799999999999999
gStatOT,45.0 (yrs),Granulocyte,5,0.42666666666666664
StatOT,45.0 (yrs),Granulocyte,5,0.6805555555555556
GT-TC,45.0 (yrs),Granulocyte,5,0.5266666666666666
gStatOT,53.0 (yrs),Granulocyte,5,0.6644444444444444
StatOT,53.0 (yrs),Granulocyte,5,0.0
GT-TC,53.0 (yrs),Granulocyte,5,0.66
gStatOT,62.0 (yrs),Granulocyte,5,0.8766666666666667
StatOT,62.0 (yrs),Granulocyte,5,0.0
GT-TC,62.0 (yrs),Granulocyte,5,0.9
gStatOT,76.0 (yrs),Granulocyte,5,0.9666666666666666
StatOT,76.0 (yrs),Granulocyte,5,0.6781746031746032
GT-TC,76.0 (yrs),Granulocyte,5,1.0
gStatOT,77.0 (yrs),Granulocyte,5,0.9666666666666666
StatOT,77.0 (yrs),Granulocyte,5,0.5075091575091575
GT-TC,77.0 (yrs),Granulocyte,5,1.0
gStatOT,10.0 (wks),Granulocyte,5,0.9666666666666666
StatOT,10.0 (wks),Granulocyte,5,1.0
GT-TC,10.0 (wks),Granulocyte,5,0.4833333333333333
gStatOT,11.0 (wks),Granulocyte,5,0.71
StatOT,11.0 (wks),Granulocyte,5,0.3128744939271255
GT-TC,11.0 (wks),Granulocyte,5,0.42000000000000004
gStatOT,13.0 (wks),Granulocyte,5,0.9666666666666666
StatOT,13.0 (wks),Granulocyte,5,0.9428571428571428
GT-TC,13.0 (wks),Granulocyte,5,0.5416666666666666
gStatOT,14.0 (wks),Granulocyte,5,0.7783333333333333
StatOT,14.0 (wks),Granulocyte,5,0.0
GT-TC,14.0 (wks),Granulocyte,5,0.7
gStatOT,15.0 (wks),Granulocyte,5,0.7392857142857142
StatOT,15.0 (wks),Granulocyte,5,0.7669444444444444
GT-TC,15.0 (wks),Granulocyte,5,0.7
gStatOT,20.0 (wks),Granulocyte,5,0.9666666666666666
StatOT,20.0 (wks),Granulocyte,5,0.0
GT-TC,20.0 (wks),Granulocyte,5,0.6
gStatOT,22.0 (wks),Granulocyte,5,0.6690476190476191
StatOT,22.0 (wks),Granulocyte,5,0.48039215686274506
GT-TC,22.0 (wks),Granulocyte,5,0.6100000000000001
gStatOT,23.0 (wks),Granulocyte,5,0.7861904761904762
StatOT,23.0 (wks),Granulocyte,5,0.0
GT-TC,23.0 (wks),Granulocyte,5,0.76
gStatOT,0.0 (yrs),Lymphoid,5,0.5185185185185185
StatOT,0.0 (yrs),Lymphoid,5,0.0
GT-TC,0.0 (yrs),Lymphoid,5,0.4
gStatOT,2.0 (yrs),Lymphoid,5,0.8761904761904763
StatOT,2.0 (yrs),Lymphoid,5,0.6833333333333333
GT-TC,2.0 (yrs),Lymphoid,5,0.65
gStatOT,4.0 (yrs),Lymphoid,5,0.8761904761904763
StatOT,4.0 (yrs),Lymphoid,5,0.0
GT-TC,4.0 (yrs),Lymphoid,5,0.9
gStatOT,10.0 (yrs),Lymphoid,5,0.8711111111111112
StatOT,10.0 (yrs),Lymphoid,5,0.9266666666666667
GT-TC,10.0 (yrs),Lymphoid,5,0.6799999999999999
gStatOT,12.0 (yrs),Lymphoid,5,0.633264320220842
StatOT,12.0 (yrs),Lymphoid,5,0.051503546099290774
GT-TC,12.0 (yrs),Lymphoid,5,0.5416666666666666
gStatOT,17.0 (yrs),Lymphoid,5,0.9666666666666666
StatOT,17.0 (yrs),Lymphoid,5,0.7096491228070175
