method,Age,marginal_W2_dist,traj_W2_dist,FP_TV_dist,FP_perc_matches,n_iter,opt_time,const_err,experiment,N,T
gStatOT,26.0,0.43484128418079837,0.7430313717718582,0.35682264,60.0,10000.0,0.08 mins,1.1767229868286933e-06,2,50,5
gStatOT,50.0,0.4471115416172305,0.9761661946364594,0.85226184,40.0,10000.0,0.08 mins,1.1767229868286933e-06,2,50,5
gStatOT,74.0,0.41066364762653207,0.952587749764615,0.9258029,40.0,10000.0,0.08 mins,1.1767229868286933e-06,2,50,5
gStatOT,99.0,0.43667187705805827,0.9325060098877723,0.8826256,50.0,10000.0,0.08 mins,1.1767229868286933e-06,2,50,5
StatOT,2.0,0.5193655374731098,0.97835392600064,0.3577121,80.0,,,5.551115123125783e-17,2,50,5
StatOT,26.0,0.5341032044295768,1.2152396485366812,2.0,80.0,,,1.3877787807814457e-16,2,50,5
StatOT,50.0,0.548778484850529,1.5306854784427621,1.0166746,40.0,,,1.1102230246251565e-16,2,50,5
StatOT,74.0,0.4738119067915331,1.0233807840305482,2.0,40.0,,,8.326672684688674e-17,2,50,5
StatOT,99.0,0.48568218075842706,1.3870280319479347,0.95847815,50.0,,,1.1102230246251565e-16,2,50,5
gStatOT,2.0,0.4988776034051633,1.0843218237931225,0.6654707,70.0,10000.0,0.08 mins,9.330999019563357e-06,3,50,5
gStatOT,26.0,0.47785425439704876,1.0939923816973158,0.40449563,80.0,10000.0,0.08 mins,9.330999019563357e-06,3,50,5
gStatOT,50.0,0.4373919818068577,1.1454187916067406,0.5532157,70.0,10000.0,0.08 mins,9.330999019563357e-06,3,50,5
gStatOT,74.0,0.4407078006148644,1.1273694234542515,0.24435334,90.0,10000.0,0.08 mins,9.330999019563357e-06,3,50,5
gStatOT,99.0,0.45863539612580373,1.1212511849486042,0.5584476,70.0,10000.0,0.08 mins,9.330999019563357e-06,3,50,5
StatOT,2.0,0.45904314512983724,0.9061019726992372,0.42729297,70.0,,,8.326672684688674e-17,3,50,5
StatOT,26.0,0.5889340137945317,1.0814121358482047,0.61316425,70.0,,,9.71445146547012e-17,3,50,5
StatOT,50.0,0.5772038031110656,1.4518417270546802,0.56861556,70.0,,,1.6653345369377348e-16,3,50,5
StatOT,74.0,0.5050236167877223,1.1149193383918756,0.17440775,90.0,,,1.249000902703301e-16,3,50,5
StatOT,99.0,0.5283409722440459,1.0758019139435766,2.0,70.0,,,9.71445146547012e-17,3,50,5
gStatOT,2.0,0.4782813652165105,0.8714946409115423,0.81059647,60.0,20000.0,0.14 mins,4.9518602553755287e-05,4,50,5
gStatOT,26.0,0.479533168719839,0.8341143291960439,0.61613667,70.0,20000.0,0.14 mins,4.9518602553755287e-05,4,50,5
gStatOT,50.0,0.5071169575424622,0.8894476870100084,1.3413091,20.0,20000.0,0.14 mins,4.9518602553755287e-05,4,50,5
gStatOT,74.0,0.5721622363975323,0.9059613122224474,1.1787705,40.0,20000.0,0.14 mins,4.9518602553755287e-05,4,50,5
gStatOT,99.0,0.6249758287481584,0.8896122789843843,0.66972435,40.0,20000.0,0.14 mins,4.9518602553755287e-05,4,50,5
StatOT,2.0,0.49497404978726584,0.9435749071682391,0.30783752,70.0,,,1.1102230246251565e-16,4,50,5
StatOT,26.0,0.5457645009740779,0.9495738683245706,2.0,70.0,,,6.938893903907228e-17,4,50,5
StatOT,50.0,0.6312645998575787,0.8045125771465266,1.505815,20.0,,,1.1102230246251565e-16,4,50,5
StatOT,74.0,0.6291086503438487,1.2775032476187826,1.3645852,40.0,,,8.326672684688674e-17,4,50,5
StatOT,99.0,0.7457941573784789,1.198592616573139,0.6440796,70.0,,,1.1102230246251565e-16,4,50,5
gStatOT,2.0,0.46823071953389317,1.115289106377761,0.4434957,80.0,20000.0,0.14 mins,9.945420068091515e-05,5,50,5
gStatOT,26.0,0.4222534983320244,1.105105008066023,0.5012635,60.0,20000.0,0.14 mins,9.945420068091515e-05,5,50,5
gStatOT,50.0,0.4110814678065389,1.0968551393409884,0.4305489,70.0,20000.0,0.14 mins,9.945420068091515e-05,5,50,5
gStatOT,74.0,0.4170059626900894,0.9569465901741052,0.2291389,90.0,20000.0,0.14 mins,9.945420068091515e-05,5,50,5
gStatOT,99.0,0.4625360777489342,1.0593087183829877,0.22745964,90.0,20000.0,0.14 mins,9.945420068091515e-05,5,50,5
StatOT,2.0,0.4659259456911359,0.9653947064450762,2.0,60.0,,,5.551115123125783e-17,5,50,5
StatOT,26.0,0.48660842846454233,0.9693843700732118,0.88492715,60.0,,,8.326672684688674e-17,5,50,5
StatOT,50.0,0.4935675760545402,1.0431624137338178,0.7975448,60.0,,,5.551115123125783e-17,5,50,5
StatOT,74.0,0.4849119700074112,1.0040916962214943,1.193063,40.0,,,6.938893903907228e-17,5,50,5
StatOT,99.0,0.546375060307751,0.9902134087008826,2.0,50.0,,,6.938893903907228e-17,5,50,5
gStatOT,2.0,0.4669139737676608,0.9374818007085911,0.47323817,70.0,30000.0,0.19 mins,2.969784010464771e-05,6,50,5
gStatOT,26.0,0.43230034952224666,0.9200883304329088,0.56374496,70.0,30000.0,0.19 mins,2.969784010464771e-05,6,50,5
gStatOT,50.0,0.4358395575019435,0.922962454732736,0.3338542,70.0,30000.0,0.19 mins,2.969784010464771e-05,6,50,5
gStatOT,74.0,0.4557466389326069,0.9277652301807984,0.8038872,40.0,30000.0,0.19 mins,2.969784010464771e-05,6,50,5
gStatOT,99.0,0.4833142794070438,0.9464498884950027,1.0528972,40.0,30000.0,0.19 mins,2.969784010464771e-05,6,50,5
StatOT,2.0,0.4827754733305211,1.0099216082977076,0.8723618,60.0,,,8.326672684688674e-17,6,50,5
StatOT,26.0,0.5053195995270582,0.9732690362548808,2.0,50.0,,,8.326672684688674e-17,6,50,5
StatOT,50.0,0.4872570032094491,1.0423298425784802,0.32449737,70.0,,,9.71445146547012e-17,6,50,5
StatOT,74.0,0.5970651128846266,1.1334582918858251,2.0,60.0,,,9.71445146547012e-17,6,50,5
StatOT,99.0,0.5292101337605293,1.0980984389395694,1.1451738,40.0,,,8.326672684688674e-17,6,50,5
gStatOT,2.0,0.4399485698858931,0.8977901639826411,0.58317584,50.0,20000.0,0.14 mins,5.375554868081167e-05,7,50,5
gStatOT,26.0,0.42972353453511614,0.8876831686340418,0.68460715,50.0,20000.0,0.14 mins,5.375554868081167e-05,7,50,5
gStatOT,50.0,0.40959024146640005,0.8708099544180418,0.36575937,50.0,20000.0,0.14 mins,5.375554868081167e-05,7,50,5
gStatOT,74.0,0.41302564643448736,0.9071978372954794,0.47369108,80.0,20000.0,0.14 mins,5.375554868081167e-05,7,50,5
gStatOT,99.0,0.4660881450273103,0.9964725599037259,0.3162763,80.0,20000.0,0.14 mins,5.375554868081167e-05,7,50,5
StatOT,2.0,0.48182463303343737,0.9901322135887002,0.91640127,50.0,,,1.1102230246251565e-16,7,50,5
StatOT,26.0,0.5846413364490148,1.0260199474609877,0.9893831,50.0,,,6.938893903907228e-17,7,50,5
StatOT,50.0,0.5864270497265119,0.9584776224020212,0.7705359,40.0,,,9.71445146547012e-17,7,50,5
StatOT,74.0,0.5057078504787053,1.0017645004828548,2.0,40.0,,,6.938893903907228e-17,7,50,5
StatOT,99.0,0.575832790626424,1.205676055411805,0.80947685,60.0,,,8.326672684688674e-17,7,50,5
gStatOT,2.0,0.415846853698797,0.891073858430354,0.84390134,60.0,20000.0,0.14 mins,3.274110935214125e-05,8,50,5
gStatOT,26.0,0.4026261965236916,0.8728483860134965,0.94589806,40.0,20000.0,0.14 mins,3.274110935214125e-05,8,50,5
gStatOT,50.0,0.41751798041619353,0.8635206055281066,0.7643215,50.0,20000.0,0.14 mins,3.274110935214125e-05,8,50,5
gStatOT,74.0,0.4256744702665066,1.0777871574390496,0.24370816,100.0,20000.0,0.14 mins,3.274110935214125e-05,8,50,5
gStatOT,99.0,0.48249540988840606,1.0130508370529898,0.24730739,80.0,20000.0,0.14 mins,3.274110935214125e-05,8,50,5
StatOT,2.0,0.5100409905024876,0.9486079547233104,2.0,60.0,,,6.938893903907228e-17,8,50,5
StatOT,26.0,0.5065599217697644,0.9908986272810024,1.0411184,40.0,,,5.551115123125783e-17,8,50,5
StatOT,50.0,0.6009614252038383,0.9558306255322736,2.0,50.0,,,8.326672684688674e-17,8,50,5
StatOT,74.0,0.5501063997443614,1.0658525008246627,2.0,80.0,,,8.326672684688674e-17,8,50,5
StatOT,99.0,0.6487208264295093,1.0374392715071268,0.17116132,90.0,,,5.551115123125783e-17,8,50,5
gStatOT,2.0,0.5024750343675118,0.8927793329663257,1.0317259,30.0,40000.0,0.24 mins,6.557170477994312e-05,9,50,5
gStatOT,26.0,0.46488753403554395,0.8899133612850914,0.6895517,60.0,40000.0,0.24 mins,6.557170477994312e-05,9,50,5
gStatOT,50.0,0.4398920851662503,0.8811608937790872,0.6928056,50.0,40000.0,0.24 mins,6.557170477994312e-05,9,50,5
gStatOT,74.0,0.5237680801687051,0.9537721065301009,0.60541105,60.0,40000.0,0.24 mins,6.557170477994312e-05,9,50,5
gStatOT,99.0,0.5570770372932657,0.9767363298118866,0.8500804,50.0,40000.0,0.24 mins,6.557170477994312e-05,9,50,5
StatOT,2.0,0.5213682898594536,0.9461600924218834,2.0,30.0,,,9.71445146547012e-17,9,50,5
StatOT,26.0,0.5812421114132026,1.061732969302488,0.77638227,60.0,,,6.938893903907228e-17,9,50,5
StatOT,50.0,0.4804452478551713,0.9514013026493954,0.26175386,80.0,,,1.1102230246251565e-16,9,50,5
StatOT,74.0,0.8015848977576143,1.2810907534474818,0.6054168,60.0,,,9.71445146547012e-17,9,50,5
StatOT,99.0,0.6122070851490988,1.0603683974282747,0.8980972,50.0,,,9.71445146547012e-17,9,50,5
gStatOT,2.0,0.44292448283191016,0.9217653283837465,0.68425375,60.0,20000.0,0.14 mins,6.337389556887452e-05,10,50,5
gStatOT,26.0,0.4145098553590326,0.9331718129453747,0.6006098,50.0,20000.0,0.14 mins,6.337389556887452e-05,10,50,5
gStatOT,50.0,0.43380887295102294,1.0102677694638384,0.32856172,100.0,20000.0,0.14 mins,6.337389556887452e-05,10,50,5
gStatOT,74.0,0.43454410439160635,1.1295059828106948,0.18784317,70.0,20000.0,0.14 mins,6.337389556887452e-05,10,50,5
gStatOT,99.0,0.4818879246836121,1.1957003546315759,0.21576247,90.0,20000.0,0.14 mins,6.337389556887452e-05,10,50,5
StatOT,2.0,0.4984839087706275,0.9068652588728511,1.2424232,40.0,,,1.249000902703301e-16,10,50,5
StatOT,26.0,0.4809945339226478,0.9904897504467715,0.84841406,70.0,,,8.326672684688674e-17,10,50,5
StatOT,50.0,0.5246959117130527,1.1222336403216397,0.68696,70.0,,,1.3877787807814457e-16,10,50,5
StatOT,74.0,0.5934227377172162,1.2351806766516995,0.64930403,80.0,,,5.551115123125783e-17,10,50,5
StatOT,99.0,0.5742502495430134,1.1062676735246955,0.16894476,90.0,,,9.71445146547012e-17,10,50,5
gStatOT,2.0,0.4010308750052348,0.7421214955292911,0.40691265,100.0,10000.0,0.11 mins,7.57876578996175e-05,1,100,10
gStatOT,12.0,0.3770812601948748,0.7171975323505362,0.56576854,70.0,10000.0,0.11 mins,7.57876578996175e-05,1,100,10
gStatOT,23.0,0.3666734629533707,0.7224964292138373,0.2773753,80.0,10000.0,0.11 mins,7.57876578996175e-05,1,100,10
gStatOT,34.0,0.34828049806718286,0.7347303622838155,0.49070328,60.0,10000.0,0.11 mins,7.57876578996175e-05,1,100,10
gStatOT,45.0,0.34893149097293724,0.736250768021464,0.3849714,80.0,10000.0,0.11 mins,7.57876578996175e-05,1,100,10
gStatOT,55.0,0.35863320809544763,0.7595013110627585,0.13501906,90.0,10000.0,0.11 mins,7.57876578996175e-05,1,100,10
gStatOT,66.0,0.38005421854258087,0.7701148096177262,0.3237515,60.0,10000.0,0.11 mins,7.57876578996175e-05,1,100,10
gStatOT,77.0,0.3850751101581272,0.7470311066237169,0.13313775,90.0,10000.0,0.11 mins,7.57876578996175e-05,1,100,10
gStatOT,88.0,0.42821319531992275,0.7626440768249515,0.4679125,90.0,10000.0,0.11 mins,7.57876578996175e-05,1,100,10
gStatOT,99.0,0.4507434813270408,0.8085112875168471,0.36034667,60.0,10000.0,0.11 mins,7.57876578996175e-05,1,100,10
StatOT,2.0,0.516140820939799,1.1337441070944918,0.8229791,50.0,,,1.249000902703301e-16,1,100,10
StatOT,12.0,0.5825131704932773,1.007306638565167,2.0,60.0,,,9.43689570931383e-16,1,100,10
StatOT,23.0,0.4565700447745663,1.40773038074592,1.011904,40.0,,,5.551115123125783e-17,1,100,10
StatOT,34.0,0.5744849109380836,0.9417847322481002,2.0,40.0,,,7.790434963794723e-12,1,100,10
StatOT,45.0,0.5335731821450126,0.8807596337011161,0.98208666,50.0,,,5.551115123125783e-17,1,100,10
StatOT,55.0,0.5385081298180261,0.9799074359945303,1.2438339,30.0,,,1.6653345369377348e-16,1,100,10
StatOT,66.0,0.6844355797392931,1.1095692207095422,0.63181657,60.0,,,6.938893903907228e-17,1,100,10
StatOT,77.0,0.5273539641607545,0.8695488334183513,0.3298135,90.0,,,6.938893903907228e-17,1,100,10
StatOT,88.0,0.5436343237421565,1.080284291382412,0.829764,60.0,,,5.551115123125783e-17,1,100,10
StatOT,99.0,0.4745019052472826,0.7180421479756739,0.25191876,90.0,,,6.938893903907228e-17,1,100,10
gStatOT,2.0,0.40892838874932863,0.8074111355127934,0.43873873,80.0,10000.0,0.11 mins,7.615030583929538e-05,2,100,10
gStatOT,12.0,0.38817763618048673,0.7786020758665202,0.3565941,80.0,10000.0,0.11 mins,7.615030583929538e-05,2,100,10
gStatOT,23.0,0.36970801189220054,0.7761522985809787,0.45709413,90.0,10000.0,0.11 mins,7.615030583929538e-05,2,100,10
gStatOT,34.0,0.35452918607599415,0.7815231786608816,0.27654576,90.0,10000.0,0.11 mins,7.615030583929538e-05,2,100,10
gStatOT,45.0,0.35397012705395053,0.7784419248288931,0.32692745,80.0,10000.0,0.11 mins,7.615030583929538e-05,2,100,10
gStatOT,55.0,0.3658342288956437,0.7796777582962121,0.36374784,60.0,10000.0,0.11 mins,7.615030583929538e-05,2,100,10
gStatOT,66.0,0.3872766607441445,0.7887537010850287,0.39165458,70.0,10000.0,0.11 mins,7.615030583929538e-05,2,100,10
gStatOT,77.0,0.39084793198896695,0.8124272275381258,0.22357185,90.0,10000.0,0.11 mins,7.615030583929538e-05,2,100,10
gStatOT,88.0,0.4179039311280628,0.8371335906770933,0.28471273,90.0,10000.0,0.11 mins,7.615030583929538e-05,2,100,10
gStatOT,99.0,0.4504989173412378,0.8594439158673767,0.14390925,100.0,10000.0,0.11 mins,7.615030583929538e-05,2,100,10
StatOT,2.0,0.5193655374731098,0.8908385790886714,0.31976128,100.0,,,5.551115123125783e-17,2,100,10
StatOT,12.0,0.5398819652959133,1.0438593360977235,2.0,50.0,,,6.938893903907228e-17,2,100,10
StatOT,23.0,0.5752488893791329,0.7683415741183202,0.6558956,70.0,,,8.326672684688674e-17,2,100,10
StatOT,34.0,0.5058584702668731,1.3049052220101869,1.0062658,40.0,,,1.249000902703301e-16,2,100,10
StatOT,45.0,0.5323740759013711,0.8572797066394454,2.0,40.0,,,8.326672684688674e-17,2,100,10
StatOT,55.0,0.4995666148092616,1.3370660457697299,1.0383766,40.0,,,8.326672684688674e-17,2,100,10
StatOT,66.0,0.4865007896710291,0.8641988147366005,2.0,50.0,,,6.938893903907228e-17,2,100,10
StatOT,77.0,0.500805680386852,1.2550502619115222,0.16198197,90.0,,,1.1213252548714081e-14,2,100,10
StatOT,88.0,0.6837051924006823,0.8189916235441597,2.0,30.0,,,9.71445146547012e-17,2,100,10
StatOT,99.0,0.5003249023169342,1.1801737114731938,1.1293218,30.0,,,8.326672684688674e-17,2,100,10
gStatOT,2.0,0.39111664197240176,0.7203701352056963,0.3330141,70.0,10000.0,0.11 mins,1.2197179498407706e-05,3,100,10
gStatOT,12.0,0.372250601298365,0.7109133017577627,0.23894243,80.0,10000.0,0.11 mins,1.2197179498407706e-05,3,100,10
gStatOT,23.0,0.3533422516915474,0.7213991456720784,0.23888712,80.0,10000.0,0.11 mins,1.2197179498407706e-05,3,100,10
gStatOT,34.0,0.34397018100698956,0.7224585212498373,0.22708622,90.0,10000.0,0.11 mins,1.2197179498407706e-05,3,100,10
gStatOT,45.0,0.35373278562074173,0.7538177381279731,0.26076287,80.0,10000.0,0.11 mins,1.2197179498407706e-05,3,100,10
gStatOT,55.0,0.36619987736328186,0.7630148091079718,0.17991605,90.0,10000.0,0.11 mins,1.2197179498407706e-05,3,100,10
gStatOT,66.0,0.37621366776359966,0.7855319509400288,0.34211555,70.0,10000.0,0.11 mins,1.2197179498407706e-05,3,100,10
gStatOT,77.0,0.3957449510659267,0.7843600836606093,0.18411824,80.0,10000.0,0.11 mins,1.2197179498407706e-05,3,100,10
gStatOT,88.0,0.45828388881923526,0.7989342956925635,0.24028687,90.0,10000.0,0.11 mins,1.2197179498407706e-05,3,100,10
gStatOT,99.0,0.48674598652617823,0.8162389384098084,0.15235971,100.0,10000.0,0.11 mins,1.2197179498407706e-05,3,100,10
StatOT,2.0,0.45904314512983724,0.862888623700585,0.33753923,80.0,,,6.938893903907228e-17,3,100,10
StatOT,12.0,0.5151610413570905,1.1194939175587597,1.2408282,40.0,,,8.326672684688674e-17,3,100,10
StatOT,23.0,0.4658017430777038,0.8200867716681327,1.0498043,40.0,,,9.71445146547012e-17,3,100,10
StatOT,34.0,0.49473972471719435,0.9938707648269814,2.0,50.0,,,9.285677782244761e-09,3,100,10
StatOT,45.0,0.6006763347462115,0.7924018099482634,0.93959534,50.0,,,8.326672684688674e-17,3,100,10
StatOT,55.0,0.48279900776845003,0.6912673822284855,0.91048014,60.0,,,1.3877787807814457e-16,3,100,10
StatOT,66.0,0.5916966219496808,0.953945022193858,2.0,60.0,,,4.8856535530023004e-05,3,100,10
StatOT,77.0,0.5100007051365442,1.0945446051485557,1.00201,40.0,,,1.1102230246251565e-16,3,100,10
StatOT,88.0,0.6482731502820271,1.2444475582884897,0.5096216,70.0,,,8.326672684688674e-17,3,100,10
StatOT,99.0,0.8570440088534858,1.4532283097613072,0.4873839,70.0,,,4.663800276527574e-09,3,100,10
gStatOT,2.0,0.4141789209108503,0.6988015114521361,0.30530807,70.0,10000.0,0.11 mins,3.4816715687169264e-06,4,100,10
gStatOT,12.0,0.3864246474271176,0.6783838839158168,0.29549676,80.0,10000.0,0.11 mins,3.4816715687169264e-06,4,100,10
gStatOT,23.0,0.3864331376978638,0.6683991034792305,0.21329656,90.0,10000.0,0.11 mins,3.4816715687169264e-06,4,100,10
gStatOT,34.0,0.3867534440538987,0.707826908345948,0.25174862,80.0,10000.0,0.11 mins,3.4816715687169264e-06,4,100,10
gStatOT,45.0,0.36880187596929076,0.784609297569033,0.1347331,100.0,10000.0,0.11 mins,3.4816715687169264e-06,4,100,10
gStatOT,55.0,0.3596875083465986,0.6995180906844085,0.31615654,80.0,10000.0,0.11 mins,3.4816715687169264e-06,4,100,10
gStatOT,66.0,0.3831938854079495,0.6935808530512146,0.31417385,90.0,10000.0,0.11 mins,3.4816715687169264e-06,4,100,10
gStatOT,77.0,0.39679783065547714,0.7136928114466732,0.22555916,100.0,10000.0,0.11 mins,3.4816715687169264e-06,4,100,10
gStatOT,88.0,0.43661993996545356,0.7308639480415297,0.21925934,100.0,10000.0,0.11 mins,3.4816715687169264e-06,4,100,10
gStatOT,99.0,0.4570907684641953,0.7679939682666141,0.22169235,80.0,10000.0,0.11 mins,3.4816715687169264e-06,4,100,10
StatOT,2.0,0.49497404978726584,1.2444547724910657,0.22236505,70.0,,,8.326672684688674e-17,4,100,10
StatOT,12.0,0.4754225191516163,1.1556136246075694,1.2729875,40.0,,,6.938893903907228e-17,4,100,10
StatOT,23.0,0.5320057395745723,0.9288033061159543,2.0,30.0,,,4.097638894862143e-12,4,100,10
StatOT,34.0,0.6646363912712017,0.9840196090153635,2.0,40.0,,,1.2328721377130591e-11,4,100,10
StatOT,45.0,0.49752781225381015,0.8244516392820597,1.2554859,30.0,,,9.71445146547012e-17,4,100,10
StatOT,55.0,0.5082169827642201,0.7136555155386776,0.97607565,50.0,,,1.942890293094024e-16,4,100,10
StatOT,66.0,0.5374757990603284,0.8878233066896404,2.0,50.0,,,6.011697140095862e-09,4,100,10
StatOT,77.0,0.5015877641999317,0.9226676808550219,2.0,60.0,,,1.1102230246251565e-16,4,100,10
StatOT,88.0,0.5645340627734634,1.0400742203055418,1.0191197,50.0,,,4.163336342344337e-17,4,100,10
StatOT,99.0,0.5836468758670537,1.533018089728913,1.0717114,50.0,,,1.904587598744456e-13,4,100,10
gStatOT,2.0,0.4143783875005486,0.8777815921950968,0.4498642,60.0,20000.0,0.18 mins,3.8527263366172626e-05,5,100,10
gStatOT,12.0,0.38738909048981995,0.8583815022696439,0.38913283,70.0,20000.0,0.18 mins,3.8527263366172626e-05,5,100,10
gStatOT,23.0,0.3699064729202003,0.8919669754944922,0.6727338,40.0,20000.0,0.18 mins,3.8527263366172626e-05,5,100,10
gStatOT,34.0,0.36118628324063506,0.860876747524193,0.39429745,70.0,20000.0,0.18 mins,3.8527263366172626e-05,5,100,10
