Method,Age,Fate,Top genes,AP
gStatOT,0.0 (yrs),Baso/Mast,5,0.21860562407808432
StatOT,0.0 (yrs),Baso/Mast,5,0.2510086248485063
GT-TC,0.0 (yrs),Baso/Mast,5,0.4
gStatOT,2.0 (yrs),Baso/Mast,5,0.26922183157542273
StatOT,2.0 (yrs),Baso/Mast,5,0.0
GT-TC,2.0 (yrs),Baso/Mast,5,0.5800000000000001
gStatOT,4.0 (yrs),Baso/Mast,5,0.2339382985709595
StatOT,4.0 (yrs),Baso/Mast,5,0.0
GT-TC,4.0 (yrs),Baso/Mast,5,0.71
gStatOT,10.0 (yrs),Baso/Mast,5,0.25287485559290834
StatOT,10.0 (yrs),Baso/Mast,5,0.0
GT-TC,10.0 (yrs),Baso/Mast,5,0.78
gStatOT,12.0 (yrs),Baso/Mast,5,0.24496773003872394
StatOT,12.0 (yrs),Baso/Mast,5,0.006880625952084199
GT-TC,12.0 (yrs),Baso/Mast,5,0.8
gStatOT,17.0 (yrs),Baso/Mast,5,0.26780358070680654
StatOT,17.0 (yrs),Baso/Mast,5,0.20539993775287893
GT-TC,17.0 (yrs),Baso/Mast,5,0.78
gStatOT,25.0 (yrs),Baso/Mast,5,0.2905175145220912
StatOT,25.0 (yrs),Baso/Mast,5,0.25703112773098524
GT-TC,25.0 (yrs),Baso/Mast,5,0.88
gStatOT,32.0 (yrs),Baso/Mast,5,0.2652576588338786
StatOT,32.0 (yrs),Baso/Mast,5,0.0
GT-TC,32.0 (yrs),Baso/Mast,5,0.8
gStatOT,35.0 (yrs),Baso/Mast,5,0.22776414937112555
StatOT,35.0 (yrs),Baso/Mast,5,0.04158082997594529
GT-TC,35.0 (yrs),Baso/Mast,5,0.6
gStatOT,45.0 (yrs),Baso/Mast,5,0.4477763598564504
StatOT,45.0 (yrs),Baso/Mast,5,0.8111111111111111
GT-TC,45.0 (yrs),Baso/Mast,5,0.8
gStatOT,53.0 (yrs),Baso/Mast,5,0.12760646348681873
StatOT,53.0 (yrs),Baso/Mast,5,0.0
GT-TC,53.0 (yrs),Baso/Mast,5,0.8
gStatOT,62.0 (yrs),Baso/Mast,5,0.2868965517241379
StatOT,62.0 (yrs),Baso/Mast,5,0.12415458937198068
GT-TC,62.0 (yrs),Baso/Mast,5,0.56
gStatOT,76.0 (yrs),Baso/Mast,5,0.549047619047619
StatOT,76.0 (yrs),Baso/Mast,5,0.0
GT-TC,76.0 (yrs),Baso/Mast,5,0.8
gStatOT,77.0 (yrs),Baso/Mast,5,0.549047619047619
StatOT,77.0 (yrs),Baso/Mast,5,0.029500068295675343
GT-TC,77.0 (yrs),Baso/Mast,5,1.0
gStatOT,10.0 (wks),Baso/Mast,5,0.23359307359307357
StatOT,10.0 (wks),Baso/Mast,5,0.0019382401909967643
GT-TC,10.0 (wks),Baso/Mast,5,1.0
gStatOT,11.0 (wks),Baso/Mast,5,0.23359307359307357
StatOT,11.0 (wks),Baso/Mast,5,0.00284434054159361
GT-TC,11.0 (wks),Baso/Mast,5,1.0
gStatOT,13.0 (wks),Baso/Mast,5,0.15374919198448608
StatOT,13.0 (wks),Baso/Mast,5,0.008512354152367878
GT-TC,13.0 (wks),Baso/Mast,5,1.0
gStatOT,14.0 (wks),Baso/Mast,5,0.15374919198448608
StatOT,14.0 (wks),Baso/Mast,5,0.40315904139433545
GT-TC,14.0 (wks),Baso/Mast,5,0.88
gStatOT,15.0 (wks),Baso/Mast,5,0.08069429481194187
StatOT,15.0 (wks),Baso/Mast,5,0.5197542997542998
GT-TC,15.0 (wks),Baso/Mast,5,0.5633333333333332
