Method,Age,Fate,Top genes,AP
gStatOT,35.0 (yrs),Erythroid,5,0.08311588411588412
StatOT,35.0 (yrs),Erythroid,5,0.6190476190476191
GT-TC,35.0 (yrs),Erythroid,5,0.88
gStatOT,45.0 (yrs),Erythroid,5,0.6029761904761906
StatOT,45.0 (yrs),Erythroid,5,0.03252576698644339
GT-TC,45.0 (yrs),Erythroid,5,1.0
gStatOT,53.0 (yrs),Erythroid,5,0.5668831168831169
StatOT,53.0 (yrs),Erythroid,5,0.30297619047619045
GT-TC,53.0 (yrs),Erythroid,5,0.9
gStatOT,62.0 (yrs),Erythroid,5,0.31761904761904763
StatOT,62.0 (yrs),Erythroid,5,0.5371031746031746
GT-TC,62.0 (yrs),Erythroid,5,0.615
gStatOT,76.0 (yrs),Erythroid,5,0.8714285714285713
StatOT,76.0 (yrs),Erythroid,5,0.056374956094134177
GT-TC,76.0 (yrs),Erythroid,5,0.8
gStatOT,77.0 (yrs),Erythroid,5,0.8714285714285713
StatOT,77.0 (yrs),Erythroid,5,0.9266666666666667
GT-TC,77.0 (yrs),Erythroid,5,1.0
gStatOT,10.0 (wks),Erythroid,5,0.5997619047619047
StatOT,10.0 (wks),Erythroid,5,0.47199608610567517
GT-TC,10.0 (wks),Erythroid,5,1.0
gStatOT,11.0 (wks),Erythroid,5,0.5997619047619047
StatOT,11.0 (wks),Erythroid,5,0.005203796336801262
GT-TC,11.0 (wks),Erythroid,5,1.0
gStatOT,13.0 (wks),Erythroid,5,0.4800285463328941
StatOT,13.0 (wks),Erythroid,5,0.16273491407278323
GT-TC,13.0 (wks),Erythroid,5,1.0
gStatOT,14.0 (wks),Erythroid,5,0.4798629148629149
StatOT,14.0 (wks),Erythroid,5,0.0
GT-TC,14.0 (wks),Erythroid,5,0.88
gStatOT,15.0 (wks),Erythroid,5,0.47366633366633365
StatOT,15.0 (wks),Erythroid,5,0.004930765141291457
GT-TC,15.0 (wks),Erythroid,5,0.78
gStatOT,20.0 (wks),Erythroid,5,0.04185769321536366
StatOT,20.0 (wks),Erythroid,5,0.6857142857142857
GT-TC,20.0 (wks),Erythroid,5,0.8
gStatOT,22.0 (wks),Erythroid,5,0.11862739362739363
StatOT,22.0 (wks),Erythroid,5,0.8225
GT-TC,22.0 (wks),Erythroid,5,0.8
gStatOT,23.0 (wks),Erythroid,5,0.11298223233707105
StatOT,23.0 (wks),Erythroid,5,0.7226190476190476
GT-TC,23.0 (wks),Erythroid,5,0.8
gStatOT,0.0 (yrs),Lymphoid,5,0.8761904761904763
StatOT,0.0 (yrs),Lymphoid,5,0.9028571428571428
GT-TC,0.0 (yrs),Lymphoid,5,1.0
gStatOT,2.0 (yrs),Lymphoid,5,0.8761904761904763
StatOT,2.0 (yrs),Lymphoid,5,0.8142857142857143
GT-TC,2.0 (yrs),Lymphoid,5,1.0
gStatOT,4.0 (yrs),Lymphoid,5,0.8761904761904763
StatOT,4.0 (yrs),Lymphoid,5,0.0
GT-TC,4.0 (yrs),Lymphoid,5,1.0
gStatOT,10.0 (yrs),Lymphoid,5,0.9428571428571428
StatOT,10.0 (yrs),Lymphoid,5,0.7976190476190477
GT-TC,10.0 (yrs),Lymphoid,5,1.0
gStatOT,12.0 (yrs),Lymphoid,5,0.9428571428571428
StatOT,12.0 (yrs),Lymphoid,5,0.8711111111111112
GT-TC,12.0 (yrs),Lymphoid,5,1.0
gStatOT,17.0 (yrs),Lymphoid,5,0.9428571428571428
StatOT,17.0 (yrs),Lymphoid,5,0.22714692714692716
GT-TC,17.0 (yrs),Lymphoid,5,1.0
gStatOT,25.0 (yrs),Lymphoid,5,1.0
StatOT,25.0 (yrs),Lymphoid,5,0.8583333333333334
GT-TC,25.0 (yrs),Lymphoid,5,1.0
gStatOT,32.0 (yrs),Lymphoid,5,1.0
StatOT,32.0 (yrs),Lymphoid,5,0.7416666666666666
GT-TC,32.0 (yrs),Lymphoid,5,1.0
gStatOT,35.0 (yrs),Lymphoid,5,1.0
StatOT,35.0 (yrs),Lymphoid,5,1.0
GT-TC,35.0 (yrs),Lymphoid,5,1.0
gStatOT,45.0 (yrs),Lymphoid,5,1.0
StatOT,45.0 (yrs),Lymphoid,5,0.9666666666666666
GT-TC,45.0 (yrs),Lymphoid,5,1.0
gStatOT,53.0 (yrs),Lymphoid,5,0.9266666666666667
StatOT,53.0 (yrs),Lymphoid,5,0.6295615731785944
GT-TC,53.0 (yrs),Lymphoid,5,0.9
gStatOT,62.0 (yrs),Lymphoid,5,0.86
StatOT,62.0 (yrs),Lymphoid,5,0.16977922077922075
GT-TC,62.0 (yrs),Lymphoid,5,0.9
gStatOT,76.0 (yrs),Lymphoid,5,0.8666666666666666
StatOT,76.0 (yrs),Lymphoid,5,0.6533333333333333
GT-TC,76.0 (yrs),Lymphoid,5,1.0
gStatOT,77.0 (yrs),Lymphoid,5,0.8666666666666666
StatOT,77.0 (yrs),Lymphoid,5,0.029078989718074627
GT-TC,77.0 (yrs),Lymphoid,5,1.0
gStatOT,10.0 (wks),Lymphoid,5,0.6163170163170163
StatOT,10.0 (wks),Lymphoid,5,0.6683333333333333
GT-TC,10.0 (wks),Lymphoid,5,0.71
gStatOT,11.0 (wks),Lymphoid,5,0.6353646353646354
StatOT,11.0 (wks),Lymphoid,5,0.04127631458468812
GT-TC,11.0 (wks),Lymphoid,5,0.78
gStatOT,13.0 (wks),Lymphoid,5,0.6459090909090909
StatOT,13.0 (wks),Lymphoid,5,0.40173310225303294
GT-TC,13.0 (wks),Lymphoid,5,0.78
gStatOT,14.0 (wks),Lymphoid,5,0.46679320679320674
StatOT,14.0 (wks),Lymphoid,5,0.16140013495276653
GT-TC,14.0 (wks),Lymphoid,5,0.9
gStatOT,15.0 (wks),Lymphoid,5,0.46679320679320674
StatOT,15.0 (wks),Lymphoid,5,0.05517986905710885
GT-TC,15.0 (wks),Lymphoid,5,0.9
gStatOT,20.0 (wks),Lymphoid,5,0.2429733981124957
StatOT,20.0 (wks),Lymphoid,5,0.72
GT-TC,20.0 (wks),Lymphoid,5,0.8
gStatOT,22.0 (wks),Lymphoid,5,0.07002877987786277
StatOT,22.0 (wks),Lymphoid,5,0.7603174603174603
GT-TC,22.0 (wks),Lymphoid,5,0.78
gStatOT,23.0 (wks),Lymphoid,5,0.057403640816570345
StatOT,23.0 (wks),Lymphoid,5,0.27897236919459145
GT-TC,23.0 (wks),Lymphoid,5,0.71
gStatOT,0.0 (yrs),Mono/DC,5,0.37882901412313175
StatOT,0.0 (yrs),Mono/DC,5,0.032372539220585785
GT-TC,0.0 (yrs),Mono/DC,5,0.32
gStatOT,2.0 (yrs),Mono/DC,5,0.7769230769230769
StatOT,2.0 (yrs),Mono/DC,5,0.04396022622463352
GT-TC,2.0 (yrs),Mono/DC,5,0.56
gStatOT,4.0 (yrs),Mono/DC,5,0.876923076923077
StatOT,4.0 (yrs),Mono/DC,5,0.0
GT-TC,4.0 (yrs),Mono/DC,5,0.63
gStatOT,10.0 (yrs),Mono/DC,5,0.7453968253968254
StatOT,10.0 (yrs),Mono/DC,5,0.0
GT-TC,10.0 (yrs),Mono/DC,5,0.675
gStatOT,12.0 (yrs),Mono/DC,5,0.8211111111111112
StatOT,12.0 (yrs),Mono/DC,5,0.0
GT-TC,12.0 (yrs),Mono/DC,5,0.675
gStatOT,17.0 (yrs),Mono/DC,5,0.8261904761904763
StatOT,17.0 (yrs),Mono/DC,5,1.0
GT-TC,17.0 (yrs),Mono/DC,5,0.76
gStatOT,25.0 (yrs),Mono/DC,5,0.9028571428571428
StatOT,25.0 (yrs),Mono/DC,5,0.0
GT-TC,25.0 (yrs),Mono/DC,5,0.855
gStatOT,32.0 (yrs),Mono/DC,5,0.8476190476190476
StatOT,32.0 (yrs),Mono/DC,5,0.0
GT-TC,32.0 (yrs),Mono/DC,5,0.9
gStatOT,35.0 (yrs),Mono/DC,5,0.8476190476190476
StatOT,35.0 (yrs),Mono/DC,5,0.004056725734079657
GT-TC,35.0 (yrs),Mono/DC,5,1.0
gStatOT,45.0 (yrs),Mono/DC,5,0.832258064516129
StatOT,45.0 (yrs),Mono/DC,5,0.0
GT-TC,45.0 (yrs),Mono/DC,5,0.9
gStatOT,53.0 (yrs),Mono/DC,5,0.9428571428571428
StatOT,53.0 (yrs),Mono/DC,5,0.4235714285714286
GT-TC,53.0 (yrs),Mono/DC,5,0.855
gStatOT,62.0 (yrs),Mono/DC,5,0.9111111111111111
StatOT,62.0 (yrs),Mono/DC,5,0.6698029243483788
GT-TC,62.0 (yrs),Mono/DC,5,0.7416666666666667
gStatOT,76.0 (yrs),Mono/DC,5,0.41274315542771917
StatOT,76.0 (yrs),Mono/DC,5,0.0
GT-TC,76.0 (yrs),Mono/DC,5,0.52
gStatOT,77.0 (yrs),Mono/DC,5,0.9
StatOT,77.0 (yrs),Mono/DC,5,0.9028571428571428
GT-TC,77.0 (yrs),Mono/DC,5,0.4833333333333333
gStatOT,10.0 (wks),Mono/DC,5,0.9666666666666666
StatOT,10.0 (wks),Mono/DC,5,0.0
GT-TC,10.0 (wks),Mono/DC,5,1.0
gStatOT,11.0 (wks),Mono/DC,5,0.9666666666666666
StatOT,11.0 (wks),Mono/DC,5,0.37858391608391606
GT-TC,11.0 (wks),Mono/DC,5,1.0
gStatOT,13.0 (wks),Mono/DC,5,0.9
StatOT,13.0 (wks),Mono/DC,5,0.0
GT-TC,13.0 (wks),Mono/DC,5,0.9
gStatOT,14.0 (wks),Mono/DC,5,0.9666666666666666
StatOT,14.0 (wks),Mono/DC,5,0.9428571428571428
GT-TC,14.0 (wks),Mono/DC,5,0.88
gStatOT,15.0 (wks),Mono/DC,5,0.9666666666666666
StatOT,15.0 (wks),Mono/DC,5,0.0
GT-TC,15.0 (wks),Mono/DC,5,0.52
gStatOT,20.0 (wks),Mono/DC,5,0.015016251354279525
StatOT,20.0 (wks),Mono/DC,5,0.0
GT-TC,20.0 (wks),Mono/DC,5,0.4
gStatOT,22.0 (wks),Mono/DC,5,0.0020957075999261617
StatOT,22.0 (wks),Mono/DC,5,0.006691121589701711
GT-TC,22.0 (wks),Mono/DC,5,0.675
gStatOT,23.0 (wks),Mono/DC,5,0.0032957070416683673
StatOT,23.0 (wks),Mono/DC,5,0.0
GT-TC,23.0 (wks),Mono/DC,5,0.8
gStatOT,0.0 (yrs),Granulocyte,5,0.9666666666666666
StatOT,0.0 (yrs),Granulocyte,5,0.7158333333333333
GT-TC,0.0 (yrs),Granulocyte,5,1.0
gStatOT,2.0 (yrs),Granulocyte,5,0.9666666666666666
StatOT,2.0 (yrs),Granulocyte,5,0.035324867465721776
GT-TC,2.0 (yrs),Granulocyte,5,1.0
gStatOT,4.0 (yrs),Granulocyte,5,0.9666666666666666
StatOT,4.0 (yrs),Granulocyte,5,0.0
GT-TC,4.0 (yrs),Granulocyte,5,1.0
gStatOT,10.0 (yrs),Granulocyte,5,0.9666666666666666
StatOT,10.0 (yrs),Granulocyte,5,0.0019660523546203117
GT-TC,10.0 (yrs),Granulocyte,5,0.9
gStatOT,12.0 (yrs),Granulocyte,5,1.0
StatOT,12.0 (yrs),Granulocyte,5,0.6516087516087516
GT-TC,12.0 (yrs),Granulocyte,5,0.88
gStatOT,17.0 (yrs),Granulocyte,5,1.0
StatOT,17.0 (yrs),Granulocyte,5,0.7833333333333333
GT-TC,17.0 (yrs),Granulocyte,5,0.9
gStatOT,25.0 (yrs),Granulocyte,5,0.925
StatOT,25.0 (yrs),Granulocyte,5,0.0
GT-TC,25.0 (yrs),Granulocyte,5,0.8
gStatOT,32.0 (yrs),Granulocyte,5,0.9028571428571428
StatOT,32.0 (yrs),Granulocyte,5,0.7555555555555555
GT-TC,32.0 (yrs),Granulocyte,5,0.8
gStatOT,35.0 (yrs),Granulocyte,5,0.6926190476190476
StatOT,35.0 (yrs),Granulocyte,5,0.9028571428571428
GT-TC,35.0 (yrs),Granulocyte,5,0.76
gStatOT,45.0 (yrs),Granulocyte,5,0.6833333333333333
