"","Cell","orig.ident","nCount_RNA","nFeature_RNA","seurat_clusters","cluster_name"
"1","BM1_bcBSQM","BM1",5125,2140,1,"MPP-1"
"2","BM1_bcCHLB","BM1",5050,2116,0,"HSC"
"3","BM1_bcFZFC","BM1",4761,2024,1,"MPP-1"
"4","BM1_bcGZEW","BM1",4119,1754,0,"HSC"
"5","BM1_bcFMRM","BM1",4575,1952,1,"MPP-1"
"6","BM1_bcGXJU","BM1",4285,1993,1,"MPP-1"
"7","BM1_bcCGNZ","BM1",4158,1882,1,"MPP-1"
"8","BM1_bcFFAD","BM1",3629,1853,1,"MPP-1"
"9","BM1_bcAIXH","BM1",3720,1760,1,"MPP-1"
"10","BM1_bcDEPL","BM1",3564,1683,14,"Mk/E-MPP"
"11","BM1_bcBLXF","BM1",3334,1551,0,"HSC"
"12","BM1_bcDBND","BM1",3233,1558,1,"MPP-1"
"13","BM1_bcGTRD","BM1",3169,1527,1,"MPP-1"
"14","BM1_bcBDVL","BM1",3355,1606,0,"HSC"
"15","BM1_bcCMUW","BM1",3044,1457,0,"HSC"
"16","BM1_bcHFBQ","BM1",3111,1476,0,"HSC"
"17","BM1_bcEFZJ","BM1",2942,1340,0,"HSC"
"18","BM1_bcFNXA","BM1",2893,1499,1,"MPP-1"
"19","BM1_bcDBSV","BM1",2496,1222,0,"HSC"
"20","BM1_bcDKTO","BM1",2281,1163,0,"HSC"
"21","BM1_bcGDGP","BM1",2237,1062,0,"HSC"
"22","BM1_bcBTKA","BM1",2078,1066,0,"HSC"
"23","BM1_bcBXOY","BM1",1863,1049,1,"MPP-1"
"24","BM1_bcEVLI","BM1",1711,911,0,"HSC"
"25","BM1_bcEKLR","BM1",995,617,14,"Mk/E-MPP"
"26","BM1_bcDSFQ","BM1",6054,3077,5,"G-Prog-1"
"27","BM1_bcGAEH","BM1",5371,2616,1,"MPP-1"
"28","BM1_bcBPEM","BM1",5596,2272,1,"MPP-1"
"29","BM1_bcCKYZ","BM1",4465,2002,1,"MPP-1"
"30","BM1_bcFQYE","BM1",4122,1980,1,"MPP-1"
"31","BM1_bcAXGQ","BM1",3899,1701,0,"HSC"
"32","BM1_bcGDZJ","BM1",3786,2073,6,"Ly-Prog-2"
"33","BM1_bcEXNN","BM1",3935,1761,0,"HSC"
"34","BM1_bcEBUX","BM1",3566,1679,0,"HSC"
"35","BM1_bcCJTW","BM1",3711,1750,0,"HSC"
"36","BM1_bcHELD","BM1",3439,1701,0,"HSC"
"37","BM1_bcDZLG","BM1",3321,1559,0,"HSC"
"38","BM1_bcGHVH","BM1",2839,1371,0,"HSC"
"39","BM1_bcCOCU","BM1",2736,1346,0,"HSC"
"40","BM1_bcDKEX","BM1",2325,1161,0,"HSC"
"41","BM1_bcDQWJ","BM1",1951,1250,9,"My-MPP"
"42","BM1_bcEMUU","BM1",2098,1048,1,"MPP-1"
"43","BM1_bcHBXW","BM1",8704,3383,2,"MPP-2"
"44","BM1_bcGNCF","BM1",4760,2074,0,"HSC"
"45","BM1_bcCYKW","BM1",4844,1895,1,"MPP-1"
"46","BM1_bcAKDA","BM1",4426,2162,1,"MPP-1"
"47","BM1_bcECZM","BM1",4170,1915,14,"Mk/E-MPP"
"48","BM1_bcAKKM","BM1",4422,2033,0,"HSC"
"49","BM1_bcBGJD","BM1",4090,1840,1,"MPP-1"
"50","BM1_bcBEDB","BM1",3727,1795,1,"MPP-1"
"51","BM1_bcEVAM","BM1",3666,1541,0,"HSC"
"52","BM1_bcADRL","BM1",3825,1779,1,"MPP-1"
"53","BM1_bcCIAQ","BM1",3633,1772,1,"MPP-1"
"54","BM1_bcHAAB","BM1",3240,1602,0,"HSC"
"55","BM1_bcCKVD","BM1",3332,1583,0,"HSC"
"56","BM1_bcFJNY","BM1",3124,1447,0,"HSC"
"57","BM1_bcASKS","BM1",3290,1574,1,"MPP-1"
"58","BM1_bcHGZS","BM1",3145,1540,10,"Ly-Prog-1"
"59","BM1_bcIBEL","BM1",2972,1329,0,"HSC"
"60","BM1_bcGERB","BM1",2698,1353,0,"HSC"
"61","BM1_bcFRIT","BM1",2624,1312,1,"MPP-1"
"62","BM1_bcDDED","BM1",2625,1219,0,"HSC"
"63","BM1_bcAQDP","BM1",2405,1250,0,"HSC"
"64","BM1_bcFLXH","BM1",2349,1137,0,"HSC"
"65","BM1_bcDXZW","BM1",2362,1047,0,"HSC"
"66","BM1_bcGORZ","BM1",2186,1143,0,"HSC"
"67","BM1_bcDBZZ","BM1",2076,1085,0,"HSC"
"68","BM1_bcFTTL","BM1",1955,1074,0,"HSC"
"69","BM1_bcEFWO","BM1",1500,869,0,"HSC"
"70","BM1_bcIGNO","BM1",8880,3561,1,"MPP-1"
"71","BM1_bcCPIR","BM1",8122,3273,1,"MPP-1"
"72","BM1_bcEJAN","BM1",5269,2644,14,"Mk/E-MPP"
"73","BM1_bcCWDQ","BM1",5144,2253,0,"HSC"
"74","BM1_bcBJYL","BM1",4812,2266,14,"Mk/E-MPP"
"75","BM1_bcGBZI","BM1",4766,2194,1,"MPP-1"
"76","BM1_bcCJAM","BM1",4444,1923,0,"HSC"
"77","BM1_bcEXLD","BM1",4366,1958,1,"MPP-1"
"78","BM1_bcASGV","BM1",4046,1682,0,"HSC"
"79","BM1_bcHAHZ","BM1",3442,1666,0,"HSC"
"80","BM1_bcHCUF","BM1",3483,1733,0,"HSC"
"81","BM1_bcDOOK","BM1",3485,1511,0,"HSC"
"82","BM1_bcGUAT","BM1",3378,1611,0,"HSC"
"83","BM1_bcEFHO","BM1",3009,1803,1,"MPP-1"
"84","BM1_bcGIMX","BM1",2911,1309,0,"HSC"
"85","BM1_bcHOSH","BM1",2977,1504,0,"HSC"
"86","BM1_bcDRST","BM1",2534,1203,14,"Mk/E-MPP"
"87","BM1_bcCKGC","BM1",2327,1328,14,"Mk/E-MPP"
"88","BM1_bcFDIP","BM1",2398,1133,1,"MPP-1"
"89","BM1_bcEMLH","BM1",2331,1174,1,"MPP-1"
"90","BM1_bcEGWO","BM1",2106,1015,0,"HSC"
"91","BM1_bcAGBA","BM1",1938,1234,10,"Ly-Prog-1"
"92","BM1_bcDHEV","BM1",1026,597,1,"MPP-1"
"93","BM1_bcDIZQ","BM1",5509,2310,0,"HSC"
"94","BM1_bcDVWV","BM1",6320,2739,10,"Ly-Prog-1"
"95","BM1_bcCIXR","BM1",5463,2351,1,"MPP-1"
"96","BM1_bcBCOO","BM1",4179,1919,1,"MPP-1"
"97","BM1_bcGRBN","BM1",4244,1732,0,"HSC"
"98","BM1_bcBBSC","BM1",4210,1883,0,"HSC"
"99","BM1_bcAWBM","BM1",4001,1802,0,"HSC"
"100","BM1_bcCVFK","BM1",3923,1722,10,"Ly-Prog-1"
"101","BM1_bcEPDG","BM1",3985,1809,0,"HSC"
"102","BM1_bcDVFC","BM1",3607,1679,0,"HSC"
"103","BM1_bcBJEF","BM1",3689,1691,10,"Ly-Prog-1"
"104","BM1_bcEJKB","BM1",3372,1677,14,"Mk/E-MPP"
"105","BM1_bcGJOG","BM1",3349,1639,0,"HSC"
"106","BM1_bcAQGA","BM1",3454,1741,10,"Ly-Prog-1"
"107","BM1_bcEQXC","BM1",3440,1544,1,"MPP-1"
"108","BM1_bcDUHZ","BM1",3181,1481,0,"HSC"
"109","BM1_bcCXSJ","BM1",3081,1474,0,"HSC"
"110","BM1_bcBVXW","BM1",2991,1557,0,"HSC"
"111","BM1_bcATGY","BM1",2863,1432,1,"MPP-1"
"112","BM1_bcAHPJ","BM1",2865,1369,0,"HSC"
"113","BM1_bcGURE","BM1",2495,1335,1,"MPP-1"
"114","BM1_bcGCSS","BM1",2478,1175,1,"MPP-1"
"115","BM1_bcIBAC","BM1",2339,1145,14,"Mk/E-MPP"
"116","BM1_bcGCLH","BM1",1687,919,0,"HSC"
"117","BM1_bcGUSE","BM1",1506,830,9,"My-MPP"
"118","BM1_bcGDPL","BM1",1580,881,0,"HSC"
"119","BM1_bcAXDG","BM1",1395,789,9,"My-MPP"
"120","BM1_bcCNKM","BM1",5679,2378,1,"MPP-1"
"121","BM1_bcDCLR","BM1",5300,2649,1,"MPP-1"
"122","BM1_bcAGDA","BM1",4788,2030,0,"HSC"
"123","BM1_bcCWXR","BM1",4438,2006,1,"MPP-1"
"124","BM1_bcCZYX","BM1",3413,1688,9,"My-MPP"
"125","BM1_bcAEUV","BM1",3401,1630,0,"HSC"
"126","BM1_bcEJMT","BM1",3010,1621,0,"HSC"
"127","BM1_bcAZHG","BM1",3060,1386,0,"HSC"
"128","BM1_bcCZGG","BM1",2676,1407,0,"HSC"
"129","BM1_bcENUV","BM1",2732,1258,0,"HSC"
"130","BM1_bcDNRP","BM1",2428,1195,0,"HSC"
"131","BM1_bcEMZV","BM1",2387,1006,0,"HSC"
"132","BM1_bcBRCI","BM1",1741,906,1,"MPP-1"
"133","BM1_bcEFTL","BM1",1299,884,10,"Ly-Prog-1"
"134","BM1_bcFCRJ","BM1",1281,783,0,"HSC"
"135","BM1_bcAOEU","BM1",5976,2810,1,"MPP-1"
"136","BM1_bcHUPS","BM1",5329,2482,14,"Mk/E-MPP"
"137","BM1_bcGDWO","BM1",5011,2152,1,"MPP-1"
"138","BM1_bcFOAM","BM1",4018,1876,0,"HSC"
"139","BM1_bcGZZM","BM1",3857,1937,0,"HSC"
"140","BM1_bcABTZ","BM1",3508,1707,0,"HSC"
"141","BM1_bcBKIP","BM1",3625,1659,0,"HSC"
"142","BM1_bcBRQF","BM1",3475,1646,0,"HSC"
"143","BM1_bcHHJD","BM1",3122,1583,14,"Mk/E-MPP"
"144","BM1_bcFIEM","BM1",3120,1468,14,"Mk/E-MPP"
"145","BM1_bcETCD","BM1",3125,1569,1,"MPP-1"
"146","BM1_bcHSKO","BM1",3157,1552,0,"HSC"
"147","BM1_bcCZDZ","BM1",2776,1432,1,"MPP-1"
"148","BM1_bcFQWJ","BM1",2507,1393,1,"MPP-1"
"149","BM1_bcFRNQ","BM1",2227,1091,0,"HSC"
"150","BM1_bcETGN","BM1",1785,1004,10,"Ly-Prog-1"
"151","BM1_bcGNEX","BM1",1750,963,9,"My-MPP"
"152","BM1_bcELSD","BM1",1601,920,0,"HSC"
"153","BM1_bcCKFO","BM1",1313,859,10,"Ly-Prog-1"
"154","BM1_bcAJYU","BM1",4872,2132,1,"MPP-1"
"155","BM1_bcCYJU","BM1",4907,2033,0,"HSC"
"156","BM1_bcCTXC","BM1",4322,2022,1,"MPP-1"
"157","BM1_bcFTVE","BM1",3753,1839,1,"MPP-1"
"158","BM1_bcBRNE","BM1",3929,1781,10,"Ly-Prog-1"
"159","BM1_bcBXKH","BM1",3517,1683,0,"HSC"
"160","BM1_bcDRPJ","BM1",3378,1771,1,"MPP-1"
"161","BM1_bcBERW","BM1",3219,1509,1,"MPP-1"
"162","BM1_bcGGUM","BM1",3146,1521,0,"HSC"
"163","BM1_bcDEJV","BM1",3210,1550,0,"HSC"
"164","BM1_bcEIFX","BM1",2683,1345,0,"HSC"
"165","BM1_bcGOLJ","BM1",2605,1319,0,"HSC"
"166","BM1_bcCKKZ","BM1",2290,1195,0,"HSC"
"167","BM1_bcAGEJ","BM1",2319,1150,14,"Mk/E-MPP"
"168","BM1_bcAWCC","BM1",2319,1093,0,"HSC"
"169","BM1_bcFPFK","BM1",2022,990,0,"HSC"
"170","BM1_bcFBMU","BM1",2220,1052,0,"HSC"
"171","BM1_bcBGXT","BM1",1921,937,0,"HSC"
"172","BM1_bcBQEX","BM1",1306,762,0,"HSC"
"173","BM1_bcGNVK","BM1",6477,2825,2,"MPP-2"
"174","BM1_bcCSHN","BM1",5181,2380,0,"HSC"
"175","BM1_bcAGDG","BM1",5274,2400,1,"MPP-1"
"176","BM1_bcBQDA","BM1",5205,2175,1,"MPP-1"
"177","BM1_bcCZRW","BM1",4555,2219,1,"MPP-1"
"178","BM1_bcCUWO","BM1",4008,1885,0,"HSC"
"179","BM1_bcHKTD","BM1",3986,1836,1,"MPP-1"
"180","BM1_bcHFOJ","BM1",3953,1720,1,"MPP-1"
"181","BM1_bcEZPR","BM1",3850,1797,1,"MPP-1"
"182","BM1_bcCJNU","BM1",3443,1575,0,"HSC"
"183","BM1_bcGHCK","BM1",2965,1417,14,"Mk/E-MPP"
"184","BM1_bcBIDP","BM1",3041,1385,14,"Mk/E-MPP"
"185","BM1_bcCUYA","BM1",2810,1454,0,"HSC"
"186","BM1_bcFWGW","BM1",2841,1417,0,"HSC"
"187","BM1_bcCYGS","BM1",2386,1336,1,"MPP-1"
"188","BM1_bcERRJ","BM1",2343,1256,14,"Mk/E-MPP"
"189","BM1_bcGDGD","BM1",2324,1261,1,"MPP-1"
"190","BM1_bcFIYN","BM1",1573,1034,10,"Ly-Prog-1"
"191","BM1_bcBELS","BM1",7836,3328,1,"MPP-1"
"192","BM1_bcEUTE","BM1",7457,3361,5,"G-Prog-1"
"193","BM1_bcAOZD","BM1",5256,2323,14,"Mk/E-MPP"
"194","BM1_bcFTLQ","BM1",4636,2282,2,"MPP-2"
"195","BM1_bcHPSS","BM1",4683,2050,1,"MPP-1"
"196","BM1_bcDWAA","BM1",4523,1987,0,"HSC"
"197","BM1_bcEBCK","BM1",4700,2029,0,"HSC"
"198","BM1_bcFLAV","BM1",4562,1934,14,"Mk/E-MPP"
"199","BM1_bcDARR","BM1",4305,1849,0,"HSC"
"200","BM1_bcAUJL","BM1",4273,2056,1,"MPP-1"
"201","BM1_bcBHBT","BM1",3876,1985,1,"MPP-1"
"202","BM1_bcFGHC","BM1",3711,1672,0,"HSC"
"203","BM1_bcFNVD","BM1",3661,1748,1,"MPP-1"
"204","BM1_bcERNP","BM1",3413,1581,1,"MPP-1"
"205","BM1_bcIBPM","BM1",3197,1548,0,"HSC"
"206","BM1_bcBQPE","BM1",3092,1511,0,"HSC"
"207","BM1_bcDTBX","BM1",3140,1483,0,"HSC"
"208","BM1_bcBNKT","BM1",3076,1445,0,"HSC"
"209","BM1_bcEIYZ","BM1",2877,1353,9,"My-MPP"
"210","BM1_bcCZCC","BM1",1975,920,1,"MPP-1"
"211","BM1_bcHGUD","BM1",1766,912,9,"My-MPP"
"212","BM1_bcIFSO","BM1",1430,709,1,"MPP-1"
"213","BM1_bcHOGH","BM1",960,629,9,"My-MPP"
"214","BM1_bcGMDL","BM1",928,571,0,"HSC"
"215","BM1_bcDINA","BM1",5250,2387,1,"MPP-1"
"216","BM1_bcFKHK","BM1",4805,2256,0,"HSC"
"217","BM1_bcBRCU","BM1",4550,2037,0,"HSC"
"218","BM1_bcDMOK","BM1",4313,2019,10,"Ly-Prog-1"
"219","BM1_bcCXFS","BM1",4089,1908,0,"HSC"
"220","BM1_bcGGEM","BM1",4019,1669,0,"HSC"
"221","BM1_bcHGXK","BM1",4101,1812,0,"HSC"
"222","BM1_bcCQVW","BM1",4022,1798,1,"MPP-1"
"223","BM1_bcDNQS","BM1",3988,1766,1,"MPP-1"
"224","BM1_bcFZLJ","BM1",3694,1608,0,"HSC"
"225","BM1_bcGDTK","BM1",3408,1627,9,"My-MPP"
"226","BM1_bcGWPH","BM1",3425,1619,1,"MPP-1"
"227","BM1_bcHISY","BM1",3255,1568,0,"HSC"
"228","BM1_bcIGTZ","BM1",3075,1554,14,"Mk/E-MPP"
"229","BM1_bcGEAH","BM1",3036,1422,0,"HSC"
"230","BM1_bcHCZZ","BM1",2989,1410,0,"HSC"
"231","BM1_bcEKGK","BM1",2573,1205,0,"HSC"
"232","BM1_bcGEFT","BM1",2386,1212,1,"MPP-1"
"233","BM1_bcHOBW","BM1",1998,1139,1,"MPP-1"
"234","BM1_bcGOIF","BM1",1855,1010,0,"HSC"
"235","BM1_bcDXHT","BM1",1843,972,0,"HSC"
"236","BM1_bcFEZU","BM1",963,566,0,"HSC"
"237","BM1_bcHDGX","BM1",5431,2332,1,"MPP-1"
"238","BM1_bcAZAD","BM1",4701,2046,1,"MPP-1"
"239","BM1_bcBVEA","BM1",4555,2110,1,"MPP-1"
"240","BM1_bcDYBH","BM1",4168,1976,0,"HSC"
"241","BM1_bcAUJK","BM1",4018,1856,0,"HSC"
"242","BM1_bcFTFL","BM1",3309,1511,0,"HSC"
"243","BM1_bcEQHF","BM1",3157,1647,1,"MPP-1"
"244","BM1_bcBSYL","BM1",3106,1378,0,"HSC"
"245","BM1_bcAWCV","BM1",3096,1498,0,"HSC"
"246","BM1_bcGHSB","BM1",2855,1439,0,"HSC"
"247","BM1_bcDCVX","BM1",2922,1434,1,"MPP-1"
"248","BM1_bcBSDL","BM1",2821,1395,0,"HSC"
"249","BM1_bcFCQB","BM1",2583,1328,1,"MPP-1"
"250","BM1_bcEJYR","BM1",2423,1257,1,"MPP-1"
"251","BM1_bcDTDA","BM1",2246,1180,0,"HSC"
"252","BM1_bcDNXZ","BM1",1948,972,0,"HSC"
"253","BM1_bcGKVN","BM1",1815,1062,0,"HSC"
"254","BM1_bcGMHA","BM1",1410,864,0,"HSC"
"255","BM1_bcAVQO","BM1",1069,678,8,"Ly-Prog-3"
"256","BM1_bcDPBT","BM1",974,563,0,"HSC"
"257","BM1_bcHWYT","BM1",6109,2659,1,"MPP-1"
"258","BM1_bcHDPA","BM1",5923,2558,2,"MPP-2"
"259","BM1_bcDMEF","BM1",5587,2352,0,"HSC"
"260","BM1_bcFSZV","BM1",5002,2190,1,"MPP-1"
"261","BM1_bcHTMH","BM1",4449,2059,14,"Mk/E-MPP"
"262","BM1_bcGPQZ","BM1",4608,2040,2,"MPP-2"
"263","BM1_bcFCUI","BM1",4314,1982,1,"MPP-1"
"264","BM1_bcFPHA","BM1",3802,1726,0,"HSC"
"265","BM1_bcBGUR","BM1",3911,1836,10,"Ly-Prog-1"
"266","BM1_bcGOQV","BM1",3618,1771,1,"MPP-1"
"267","BM1_bcGXEL","BM1",3507,1624,0,"HSC"
"268","BM1_bcDEDV","BM1",3693,1704,1,"MPP-1"
"269","BM1_bcFDDS","BM1",3297,1610,1,"MPP-1"
"270","BM1_bcEJOL","BM1",3067,1464,1,"MPP-1"
"271","BM1_bcFBDD","BM1",3156,1429,0,"HSC"
"272","BM1_bcAISW","BM1",3077,1501,0,"HSC"
"273","BM1_bcDQTL","BM1",2908,1284,10,"Ly-Prog-1"
"274","BM1_bcAONQ","BM1",2894,1532,0,"HSC"
"275","BM1_bcFQER","BM1",2661,1238,9,"My-MPP"
"276","BM1_bcCYUV","BM1",2733,1338,0,"HSC"
"277","BM1_bcDNFO","BM1",2583,1133,1,"MPP-1"
"278","BM1_bcBOLN","BM1",2707,1303,0,"HSC"
"279","BM1_bcBTCY","BM1",2263,1059,0,"HSC"
"280","BM1_bcFNHR","BM1",2071,1035,1,"MPP-1"
"281","BM1_bcHXDZ","BM1",1849,996,0,"HSC"
"282","BM1_bcAILC","BM1",1459,822,0,"HSC"
"283","BM1_bcIAPJ","BM1",1161,842,8,"Ly-Prog-3"
"284","BM1_bcCSEN","BM1",1084,700,0,"HSC"
"285","BM1_bcGYGP","BM1",4749,2278,1,"MPP-1"
"286","BM1_bcIBYD","BM1",4639,1977,1,"MPP-1"
"287","BM1_bcDANX","BM1",4380,2035,1,"MPP-1"
"288","BM1_bcGMPB","BM1",4355,2084,1,"MPP-1"
"289","BM1_bcHAUG","BM1",3884,1792,1,"MPP-1"
"290","BM1_bcAKEM","BM1",4001,2082,14,"Mk/E-MPP"
"291","BM1_bcDSRS","BM1",4068,1832,1,"MPP-1"
"292","BM1_bcAFFU","BM1",3763,1566,0,"HSC"
"293","BM1_bcHWUA","BM1",3455,1544,0,"HSC"
"294","BM1_bcACLW","BM1",3392,1543,0,"HSC"
"295","BM1_bcCFDW","BM1",2889,1475,0,"HSC"
"296","BM1_bcDQDE","BM1",2862,1271,0,"HSC"
"297","BM1_bcDWWE","BM1",2406,1313,1,"MPP-1"
"298","BM1_bcFYDV","BM1",2317,1281,0,"HSC"
"299","BM1_bcEKYS","BM1",2316,1162,2,"MPP-2"
"300","BM1_bcHPLY","BM1",1818,910,1,"MPP-1"
"301","BM1_bcCKZV","BM1",1272,797,8,"Ly-Prog-3"
"302","BM1_bcHAXL","BM1",1157,755,0,"HSC"
"303","BM1_bcFXTO","BM1",986,635,15,"pDC-Prog"
"304","BM1_bcCXQZ","BM1",5640,2354,1,"MPP-1"
"305","BM1_bcHBGW","BM1",5529,2294,1,"MPP-1"
"306","BM1_bcEYVY","BM1",5020,2386,8,"Ly-Prog-3"
"307","BM1_bcECQL","BM1",5322,2216,1,"MPP-1"
"308","BM1_bcAXRS","BM1",5119,2207,1,"MPP-1"
"309","BM1_bcAUTG","BM1",4748,2239,1,"MPP-1"
"310","BM1_bcDMGH","BM1",4102,1982,1,"MPP-1"
"311","BM1_bcHXTU","BM1",4542,2135,1,"MPP-1"
"312","BM1_bcFQSO","BM1",3963,1734,0,"HSC"
"313","BM1_bcCEOR","BM1",4063,1801,1,"MPP-1"
"314","BM1_bcCYXH","BM1",4023,1851,0,"HSC"
"315","BM1_bcESGG","BM1",3561,1725,0,"HSC"
"316","BM1_bcCPIF","BM1",3827,1759,1,"MPP-1"
"317","BM1_bcEOGO","BM1",3623,1840,10,"Ly-Prog-1"
"318","BM1_bcBEDC","BM1",3241,1639,1,"MPP-1"
"319","BM1_bcHVXE","BM1",3137,1463,14,"Mk/E-MPP"
"320","BM1_bcBYOA","BM1",3342,1428,0,"HSC"
"321","BM1_bcCYIQ","BM1",3219,1460,1,"MPP-1"
"322","BM1_bcEALV","BM1",3026,1454,0,"HSC"
"323","BM1_bcEEFJ","BM1",2995,1304,0,"HSC"
"324","BM1_bcFNDD","BM1",2904,1364,0,"HSC"
"325","BM1_bcDUHX","BM1",2694,1263,0,"HSC"
"326","BM1_bcCJHK","BM1",2575,1282,0,"HSC"
"327","BM1_bcGZVZ","BM1",2402,1278,1,"MPP-1"
"328","BM1_bcBPOB","BM1",2426,1128,0,"HSC"
"329","BM1_bcDVXM","BM1",2389,1295,1,"MPP-1"
"330","BM1_bcFNOP","BM1",1935,1050,0,"HSC"
"331","BM1_bcGJCT","BM1",1884,972,0,"HSC"
"332","BM1_bcHBJC","BM1",1006,662,10,"Ly-Prog-1"
"333","BM1_bcAXSQ","BM1",6938,2786,9,"My-MPP"
"334","BM1_bcHLBH","BM1",6047,2681,1,"MPP-1"
"335","BM1_bcALMG","BM1",5768,2210,1,"MPP-1"
"336","BM1_bcDPGV","BM1",4893,2103,0,"HSC"
"337","BM1_bcCSDX","BM1",4550,2156,0,"HSC"
"338","BM1_bcAMDN","BM1",4299,2031,1,"MPP-1"
"339","BM1_bcDCCA","BM1",3996,1929,0,"HSC"
"340","BM1_bcEQGL","BM1",3927,1801,1,"MPP-1"
"341","BM1_bcBETX","BM1",3970,1861,1,"MPP-1"
"342","BM1_bcBUED","BM1",3591,1556,0,"HSC"
"343","BM1_bcGFNI","BM1",3279,1628,1,"MPP-1"
"344","BM1_bcCHAB","BM1",2940,1437,0,"HSC"
"345","BM1_bcCFSW","BM1",3027,1464,0,"HSC"
"346","BM1_bcDPQD","BM1",2820,1396,14,"Mk/E-MPP"
"347","BM1_bcABWI","BM1",2667,1145,0,"HSC"
"348","BM1_bcBEMC","BM1",2445,1757,9,"My-MPP"
"349","BM1_bcHXSY","BM1",2518,1242,0,"HSC"
"350","BM1_bcARCN","BM1",2449,1323,0,"HSC"
"351","BM1_bcHIQU","BM1",2010,1213,10,"Ly-Prog-1"
"352","BM1_bcFSMA","BM1",1682,827,0,"HSC"
"353","BM1_bcIIAY","BM1",1580,939,0,"HSC"
"354","BM1_bcBRCH","BM1",1427,839,9,"My-MPP"
"355","BM1_bcESBT","BM1",8063,3629,5,"G-Prog-1"
"356","BM1_bcHEHM","BM1",6663,2827,1,"MPP-1"
"357","BM1_bcBBKR","BM1",5792,2524,1,"MPP-1"
"358","BM1_bcEWVH","BM1",5112,2096,0,"HSC"
"359","BM1_bcCTBJ","BM1",4661,2238,1,"MPP-1"
"360","BM1_bcHZJZ","BM1",4450,1927,0,"HSC"
"361","BM1_bcGKLH","BM1",4322,1918,0,"HSC"
"362","BM1_bcADHL","BM1",4336,1901,0,"HSC"
"363","BM1_bcFIVF","BM1",4290,1902,1,"MPP-1"
"364","BM1_bcBCAK","BM1",3446,1514,0,"HSC"
"365","BM1_bcAWAS","BM1",3509,1679,0,"HSC"
"366","BM1_bcFMEN","BM1",3132,1491,1,"MPP-1"
"367","BM1_bcBBNB","BM1",3277,1588,1,"MPP-1"
"368","BM1_bcFNLG","BM1",3347,1521,1,"MPP-1"
"369","BM1_bcASEZ","BM1",3145,1575,0,"HSC"
"370","BM1_bcAQHH","BM1",2823,1397,10,"Ly-Prog-1"
"371","BM1_bcELMI","BM1",2390,1210,10,"Ly-Prog-1"
"372","BM1_bcHFZT","BM1",2000,975,0,"HSC"
"373","BM1_bcFAWF","BM1",1763,915,0,"HSC"
"374","BM1_bcHPIG","BM1",1145,730,8,"Ly-Prog-3"
"375","BM1_bcHEMK","BM1",1090,681,0,"HSC"
"376","BM1_bcESUV","BM1",6304,2566,1,"MPP-1"
"377","BM1_bcGBCA","BM1",5871,2452,0,"HSC"
"378","BM1_bcHUXY","BM1",5299,2357,14,"Mk/E-MPP"
"379","BM1_bcALNK","BM1",4874,2067,1,"MPP-1"
"380","BM1_bcDHCX","BM1",4614,2055,0,"HSC"
"381","BM1_bcDQPL","BM1",4239,1894,0,"HSC"
"382","BM1_bcANCI","BM1",4310,1846,1,"MPP-1"
"383","BM1_bcAQYL","BM1",3874,1674,0,"HSC"
"384","BM1_bcHVRT","BM1",3770,1717,0,"HSC"
"385","BM1_bcGWCA","BM1",3696,1924,1,"MPP-1"
"386","BM1_bcHDVL","BM1",3750,1729,1,"MPP-1"
"387","BM1_bcEHDH","BM1",3496,1586,0,"HSC"
"388","BM1_bcCHLC","BM1",3394,1624,0,"HSC"
"389","BM1_bcFHRM","BM1",3375,1561,0,"HSC"
"390","BM1_bcGXUI","BM1",2939,1495,0,"HSC"
"391","BM1_bcAHUO","BM1",2835,1386,0,"HSC"
"392","BM1_bcCYXB","BM1",2708,1384,1,"MPP-1"
"393","BM1_bcCWDS","BM1",2320,1127,0,"HSC"
"394","BM1_bcIEUE","BM1",2711,1411,0,"HSC"
"395","BM1_bcGLPY","BM1",2034,1179,1,"MPP-1"
"396","BM1_bcHMZY","BM1",1901,871,9,"My-MPP"
"397","BM1_bcDBMW","BM1",1618,885,9,"My-MPP"
"398","BM1_bcCWQI","BM1",1660,901,0,"HSC"
"399","BM1_bcGHHO","BM1",1424,808,0,"HSC"
"400","BM1_bcHHMH","BM1",5611,2520,1,"MPP-1"
"401","BM1_bcBAWS","BM1",5706,2377,1,"MPP-1"
"402","BM1_bcEJSP","BM1",5327,2233,0,"HSC"
"403","BM1_bcGLJU","BM1",4666,2084,10,"Ly-Prog-1"
"404","BM1_bcHAFY","BM1",4511,2115,14,"Mk/E-MPP"
"405","BM1_bcDOZP","BM1",4509,1964,1,"MPP-1"
"406","BM1_bcCYVF","BM1",4145,2011,1,"MPP-1"
"407","BM1_bcDHKC","BM1",4169,1813,0,"HSC"
"408","BM1_bcAPFY","BM1",3847,1814,1,"MPP-1"
"409","BM1_bcHFPT","BM1",3629,1513,0,"HSC"
"410","BM1_bcHQKK","BM1",3469,1685,0,"HSC"
"411","BM1_bcGBFL","BM1",3336,1588,14,"Mk/E-MPP"
"412","BM1_bcAFXI","BM1",3336,1555,14,"Mk/E-MPP"
"413","BM1_bcCMXY","BM1",3027,1356,0,"HSC"
"414","BM1_bcBIUI","BM1",3260,1444,0,"HSC"
"415","BM1_bcCZCF","BM1",3055,1435,10,"Ly-Prog-1"
"416","BM1_bcBKQL","BM1",2929,1538,9,"My-MPP"
"417","BM1_bcGPHY","BM1",2970,1383,0,"HSC"
