Cell,age
BM1_bcERRJ,25yr-1
BM1_bcGDGD,25yr-1
BM1_bcFIYN,25yr-1
BM1_bcBELS,25yr-1
BM1_bcEUTE,25yr-1
BM1_bcAOZD,25yr-1
BM1_bcFTLQ,25yr-1
BM1_bcHPSS,25yr-1
BM1_bcDWAA,25yr-1
BM1_bcEBCK,25yr-1
BM1_bcFLAV,25yr-1
BM1_bcDARR,25yr-1
BM1_bcAUJL,25yr-1
BM1_bcBHBT,25yr-1
BM1_bcFGHC,25yr-1
BM1_bcFNVD,25yr-1
BM1_bcERNP,25yr-1
BM1_bcIBPM,25yr-1
BM1_bcBQPE,25yr-1
BM1_bcDTBX,25yr-1
BM1_bcBNKT,25yr-1
BM1_bcEIYZ,25yr-1
BM1_bcCZCC,25yr-1
BM1_bcHGUD,25yr-1
BM1_bcIFSO,25yr-1
BM1_bcHOGH,25yr-1
BM1_bcGMDL,25yr-1
BM1_bcDINA,25yr-1
BM1_bcFKHK,25yr-1
BM1_bcBRCU,25yr-1
BM1_bcDMOK,25yr-1
BM1_bcCXFS,25yr-1
BM1_bcGGEM,25yr-1
BM1_bcHGXK,25yr-1
BM1_bcCQVW,25yr-1
BM1_bcDNQS,25yr-1
BM1_bcFZLJ,25yr-1
BM1_bcGDTK,25yr-1
BM1_bcGWPH,25yr-1
BM1_bcHISY,25yr-1
BM1_bcIGTZ,25yr-1
BM1_bcGEAH,25yr-1
BM1_bcHCZZ,25yr-1
BM1_bcEKGK,25yr-1
BM1_bcGEFT,25yr-1
BM1_bcHOBW,25yr-1
BM1_bcGOIF,25yr-1
BM1_bcDXHT,25yr-1
BM1_bcFEZU,25yr-1
BM1_bcHDGX,25yr-1
BM1_bcAZAD,25yr-1
BM1_bcBVEA,25yr-1
BM1_bcDYBH,25yr-1
BM1_bcAUJK,25yr-1
BM1_bcFTFL,25yr-1
BM1_bcEQHF,25yr-1
BM1_bcBSYL,25yr-1
BM1_bcAWCV,25yr-1
BM1_bcGHSB,25yr-1
BM1_bcDCVX,25yr-1
BM1_bcBSDL,25yr-1
BM1_bcFCQB,25yr-1
BM1_bcEJYR,25yr-1
BM1_bcDTDA,25yr-1
BM1_bcDNXZ,25yr-1
BM1_bcGKVN,25yr-1
BM1_bcGMHA,25yr-1
BM1_bcAVQO,25yr-1
BM1_bcDPBT,25yr-1
BM1_bcHWYT,25yr-1
BM1_bcHDPA,25yr-1
BM1_bcDMEF,25yr-1
BM1_bcFSZV,25yr-1
BM1_bcHTMH,25yr-1
BM1_bcGPQZ,25yr-1
BM1_bcFCUI,25yr-1
BM1_bcFPHA,25yr-1
BM1_bcBGUR,25yr-1
BM1_bcGOQV,25yr-1
BM1_bcGXEL,25yr-1
BM1_bcDEDV,25yr-1
BM1_bcFDDS,25yr-1
BM1_bcEJOL,25yr-1
BM1_bcFBDD,25yr-1
BM1_bcAISW,25yr-1
BM1_bcDQTL,25yr-1
BM1_bcAONQ,25yr-1
BM1_bcFQER,25yr-1
BM1_bcCYUV,25yr-1
BM1_bcDNFO,25yr-1
BM1_bcBOLN,25yr-1
BM1_bcBTCY,25yr-1
BM1_bcFNHR,25yr-1
BM1_bcHXDZ,25yr-1
BM1_bcAILC,25yr-1
BM1_bcIAPJ,25yr-1
BM1_bcCSEN,25yr-1
BM1_bcGYGP,25yr-1
BM1_bcIBYD,25yr-1
BM1_bcDANX,25yr-1
BM1_bcGMPB,25yr-1
BM1_bcHAUG,25yr-1
BM1_bcAKEM,25yr-1
BM1_bcDSRS,25yr-1
BM1_bcAFFU,25yr-1
BM1_bcHWUA,25yr-1
BM1_bcACLW,25yr-1
BM1_bcCFDW,25yr-1
BM1_bcDQDE,25yr-1
BM1_bcDWWE,25yr-1
BM1_bcFYDV,25yr-1
BM1_bcEKYS,25yr-1
BM1_bcHPLY,25yr-1
BM1_bcCKZV,25yr-1
BM1_bcHAXL,25yr-1
BM1_bcFXTO,25yr-1
BM1_bcCXQZ,25yr-1
BM1_bcHBGW,25yr-1
BM1_bcEYVY,25yr-1
BM1_bcECQL,25yr-1
BM1_bcAXRS,25yr-1
BM1_bcAUTG,25yr-1
BM1_bcDMGH,25yr-1
BM1_bcHXTU,25yr-1
BM1_bcFQSO,25yr-1
BM1_bcCEOR,25yr-1
BM1_bcCYXH,25yr-1
BM1_bcESGG,25yr-1
BM1_bcCPIF,25yr-1
BM1_bcEOGO,25yr-1
BM1_bcBEDC,25yr-1
BM1_bcHVXE,25yr-1
BM1_bcBYOA,25yr-1
BM1_bcCYIQ,25yr-1
BM1_bcEALV,25yr-1
BM1_bcEEFJ,25yr-1
BM1_bcFNDD,25yr-1
BM1_bcDUHX,25yr-1
BM1_bcCJHK,25yr-1
BM1_bcGZVZ,25yr-1
BM1_bcBPOB,25yr-1
BM1_bcDVXM,25yr-1
BM1_bcFNOP,25yr-1
BM1_bcGJCT,25yr-1
BM1_bcHBJC,25yr-1
BM1_bcAXSQ,25yr-1
BM1_bcHLBH,25yr-1
BM1_bcALMG,25yr-1
BM1_bcDPGV,25yr-1
BM1_bcCSDX,25yr-1
BM1_bcAMDN,25yr-1
BM1_bcDCCA,25yr-1
BM1_bcEQGL,25yr-1
BM1_bcBETX,25yr-1
BM1_bcBUED,25yr-1
BM1_bcGFNI,25yr-1
BM1_bcCHAB,25yr-1
BM1_bcCFSW,25yr-1
BM1_bcDPQD,25yr-1
BM1_bcABWI,25yr-1
BM1_bcBEMC,25yr-1
BM1_bcHXSY,25yr-1
BM1_bcARCN,25yr-1
BM1_bcHIQU,25yr-1
BM1_bcFSMA,25yr-1
BM1_bcIIAY,25yr-1
BM1_bcBRCH,25yr-1
BM1_bcESBT,25yr-1
BM1_bcHEHM,25yr-1
BM1_bcBBKR,25yr-1
BM1_bcEWVH,25yr-1
BM1_bcCTBJ,25yr-1
BM1_bcHZJZ,25yr-1
BM1_bcGKLH,25yr-1
BM1_bcADHL,25yr-1
BM1_bcFIVF,25yr-1
BM1_bcBCAK,25yr-1
BM1_bcAWAS,25yr-1
BM1_bcFMEN,25yr-1
BM1_bcBBNB,25yr-1
BM1_bcFNLG,25yr-1
BM1_bcASEZ,25yr-1
