,k,D
10,3.0,5.0
25,3.0,2.5
50,5.0,5.0
100,5.0,2.0
200,10.0,0.75
300,7.0,1.0
400,5.0,1.25
500,7.0,1.0
600,15.0,0.75
700,7.0,1.25
