,k,D
10,3.0,5.0
25,5.0,1.0
50,7.0,1.25
100,7.0,1.25
200,7.0,0.75
300,7.0,1.25
400,15.0,0.75
500,7.0,2.0
600,15.0,1.0
700,15.0,1.0
