,lam,epsilon2
10,60.0,0.09
25,60.0,0.07
50,60.0,0.06
100,60.0,0.04
200,1.0,0.06
300,0.5,0.06
400,0.5,0.05
500,0.5,0.045
600,0.0,0.05
700,0.5,0.045
