,lam,epsilon2
10,15.0,0.1
25,20.0,0.07
50,7.5,0.06
100,10.0,0.05
200,0.5,0.06
300,0.5,0.05
400,0.5,0.05
500,0.5,0.05
600,0.25,0.04
700,0.5,0.04
